ANO_INGRESSO;CURSO;SEXO;PSELETIVO;COTAORIG;COTA;Enem-L;Enem-CH;Enem-CN;Enem-M;Enem-R;EnemTotal;CR-1P;N-DISC-APRV;TX-APROVEIT;1A-OPÇÃO;ACOLHIMENTO;GRAD-PREV;TIPO-EM;MODAL-EM;CONCLUSÃO-EM;INGLÊS;LING-PROG;DESLOCAMENTO-MODAL;TEMPO-DESLOC;INTERNET;COMPUTADOR-TER;COMPUTADOR-USO;PAIS-FORMAÇÃO;MORADIA-PROPRIA;RENDA-CONTRIBUI;MORADIA-QTOS;RENDA-TOTAL1;RENDA-TOTAL2;TRABALHO;ESTADO-CIVIL;FILHOS;RELIGIAO-TIPO;RELIGIAO-FE;RELIGIAO-FREQ;CONVERSA;LAZER-FREQ
2018;FT05;M;PSC;AC;AC;;;;;;;6.685;11;0.9322;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Não;Compartilhado;0;Própria;Pai;6;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;3;5;2;4
2018;FT05;M;SISU;AC;AC;592.6;691.7;694.7;645.2;720.0;668.8;7.754;9;0.7627;Sim;Não;Sim;privada;tradicional;6;3;Não;Ônibus;1h-2h;Sim;Sim;Exclusivo;1;Própria;Mãe;4;<1.5 SM;1;Não;Solteiro;Não;Sim;;;3;5
2018;FT05;M;PSC;AC;AC;;;;;;;3.222;4;0.3390;Sim;Não;Não;pública;tradicional;1;2;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;1;Alugada;Outros;5;1.5 a 3 SM;2;Não;Solteiro;Não;Não;2;0;2;4
2018;IE17;F;PSC;AC;AC;;;;;;;7.099;8;0.7273;Sim;Não;Não;privada;técnico;1;3;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Pai;5;1.5 a 3 SM;2;Não;Solteiro;Não;Não;;0;2;4
2018;IE08;F;PSC;AC;AC;;;;;;;7.933;11;0.8980;Sim;Sim;Não;privada;tradicional;1;3;Não;Carona;<1h;Sim;Sim;Compartilhado;2;Própria;Pai;5;;;Não;Solteiro;Não;Sim;3;4;3;5
2018;FT05;M;PSC;PPI1;Renda;;;;;;;3.955;4;0.3390;Sim;Não;Não;pública;tradicional;1;2;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;2;Própria;Pai;5;1.5 a 3 SM;2;Não;Solteiro;Não;Não;4;0;2;3
2018;IE17;M;SISU;NDC1;Renda;486.6;517;605.7;576.6;640.0;565.2;5.395;3;0.2727;Sim;Não;Sim;pública;tradicional;6;3;Sim;Veículo próprio;<1h;Sim;Sim;Compartilhado;1;Própria;Eu;3;<1.5 SM;1;Não;Solteiro;Não;Sim;4;4;3;5
2018;IE17;F;SISU;AC;AC;632.6;594.6;570.1;720.5;800.0;663.6;5.701;6;0.5455;Sim;Não;Sim;privada;tradicional;6;4;Sim;Veículo próprio;<1h;Sim;Sim;Exclusivo;2;Alugada;Pai;3;;;Informal;Solteiro;Não;Sim;3;4;3;3
2018;FT05;M;SISU;AC;AC;683.9;634.7;659.9;820.8;880.0;735.9;4.386;8;0.6780;Sim;Não;Não;privada;tradicional;1;4;Não;Ônibus;<1h;Sim;Sim;Exclusivo;2;Alugada;Mãe;2;1.5 a 3 SM;2;Não;Solteiro;Não;Não;0;2;2;5
2018;IE17;M;SISU;PPI1;Renda;569.1;623.2;536.7;672.7;740.0;628.3;3.098;4;0.3636;Sim;Não;Não;pública;tradicional;1;2;Sim;Ônibus;>2h;Sim;Sim;Compartilhado;;Própria;Outros;6;<1.5 SM;1;Não;Solteiro;Não;Sim;3;4;2;4
2018;IE08;M;PSC;NDC2;NRenda;;;;;;;5.526;6;0.4898;Sim;Sim;Não;pública;tradicional;1;4;Não;Ônibus;<1h;Sim;Sim;Compartilhado;1;Própria;Mãe;5;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;3;2;3;3
2018;IE08;M;SISU;AC;AC;593.7;612.4;612.8;738.4;720.0;655.5;8.054;11;0.8980;Sim;Sim;Não;privada;técnico;1;4;Sim;Ônibus;<1h;Sim;Sim;Compartilhado;2;Própria;Mãe;3;1.5 a 3 SM;2;Não;Solteiro;Não;Sim;1;2;1;1
2018;FT05;M;SISU;AC;AC;511.5;590.5;585.6;641.8;920.0;649.9;4.835;8;0.6780;Sim;Não;Não;privada;tradicional;1;3;Não;Carona;<1h;Sim;Sim;Exclusivo;2;Própria;Pai;6;4.5 a 6 SM;4;Não;Solteiro;Não;Sim;1;0;2;4
2018;IE08;M;PSC;PPI1;Renda;617.5;619.2;651.1;833.7;600.0;664.3;6.129;8;0.6531;Sim;Não;Não;pública;técnico;1;4;Sim;Ônibus;1h-2h;Sim;Sim;Compartilhado;2;Própria;Mãe;3;1.5 a 3 SM;2;Não;Solteiro;Não;Não;0;0;2;5
2018;FT05;M;PSC;PPI2;NRenda;;;;;;;4.725;7;0.5932;Sim;Não;Não;pública;técnico;1;2;Não;Ônibus;<1h;Sim;Sim;Exclusivo;0;Alugada;Eu;3;<1.5 SM;1;Não;Solteiro;Não;Sim;3;0;2;5
2018;FT05;M;SISU;PPI2-PCD;NRenda;585;636.6;608.7;584.5;580.0;599.0;2.734;1;0.0847;Não;Sim;Não;pública;tradicional;2;1;Não;Ônibus;1h-2h;Sim;Sim;Compartilhado;0;Própria;Outros;6;;;Não;Solteiro;Não;Sim;4;;2;5
